@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
3061548760,-3.1871547,51.4592859,zebra,,,,crossing,,,crossing
3097969046,-3.1729173,51.4751837,traffic_signals,,,,crossing,,,crossing
3333027826,-3.2038053,51.5100851,traffic_signals,,,,crossing,,,crossing
3450642766,-3.1871765,51.50585,traffic_signals,,,,crossing,,,crossing
3450642779,-3.1889488,51.5060625,zebra,,,,crossing,,,crossing
3454244893,-3.1913326,51.5060182,zebra,,,,crossing,,,crossing
3454244897,-3.1888633,51.5062548,zebra,,,,crossing,,,crossing
3454244898,-3.1895358,51.5058376,zebra,,,,crossing,,,crossing
3454244911,-3.1901224,51.506004,zebra,,,,crossing,,,crossing
3454245028,-3.1919136,51.5070066,zebra,,,,crossing,,,crossing
3454245029,-3.1920452,51.5064361,zebra,,,,crossing,,,crossing
3454245041,-3.1858664,51.5068323,zebra,,,,crossing,,,crossing
3454245042,-3.18613,51.5059631,zebra,,,,crossing,,,crossing
3454245043,-3.1858373,51.505768,zebra,,,,crossing,,,crossing
3461929366,-3.1901933,51.5059499,zebra,,,,crossing,,,crossing
3749502958,-3.1672569,51.4796411,traffic_signals,,,,crossing,,,crossing
3749502970,-3.1677662,51.4795765,traffic_signals,,,,crossing,,,crossing
3749502973,-3.1677279,51.4794586,traffic_signals,,,,crossing,,,crossing
3749502990,-3.1693732,51.4788067,traffic_signals,,,,crossing,,,crossing
3749502991,-3.1693142,51.4787282,traffic_signals,,,,crossing,,,crossing
3749519232,-3.1691306,51.4786958,traffic_signals,,,,crossing,,,crossing
3749536686,-3.1742709,51.4769599,traffic_signals,,,,crossing,,,crossing
3750954758,-3.1716058,51.480319,traffic_signals,,,,crossing,,,crossing
3750954760,-3.1713699,51.4803023,traffic_signals,,,,crossing,,,crossing
3750954763,-3.1713435,51.4804929,traffic_signals,,,,crossing,,,crossing
3750954764,-3.1725219,51.4799315,traffic_signals,,,,crossing,,,crossing
