"","X.version","X.timestamp","city"
"742",3,3030,"Manchester"
"743",2,3023,"Manchester"
"744",1,3344,"Manchester"
"745",2,3030,"Manchester"
"746",2,3030,"Manchester"
"747",3,2954,"Manchester"
"748",1,3344,"Manchester"
"749",4,2954,"Manchester"
"750",3,602,"Manchester"
"751",3,2954,"Manchester"
"752",6,760,"Manchester"
"753",4,2954,"Manchester"
"754",5,758,"Manchester"
"755",6,603,"Manchester"
"756",3,3308,"Manchester"
"757",3,3308,"Manchester"
"758",3,3308,"Manchester"
"759",3,3300,"Manchester"
"760",3,3308,"Manchester"
"761",4,604,"Manchester"
"762",3,3308,"Manchester"
"763",3,3308,"Manchester"
"764",1,3337,"Manchester"
"765",1,3337,"Manchester"
"766",1,3337,"Manchester"
"767",1,3337,"Manchester"
"768",1,3337,"Manchester"
"769",1,3337,"Manchester"
"770",6,179,"Manchester"
"771",1,3335,"Manchester"
"772",3,166,"Manchester"
"773",1,3335,"Manchester"
"774",1,3335,"Manchester"
"775",8,134,"Manchester"
"776",13,2559,"Manchester"
"777",16,129,"Manchester"
"778",18,2806,"Manchester"
"779",27,1178,"Manchester"
"780",2,1533,"Manchester"
"781",5,553,"Manchester"
"782",12,1115,"Manchester"
"783",8,1724,"Manchester"
"784",1,3317,"Manchester"
"785",3,1372,"Manchester"
"786",3,1090,"Manchester"
"787",3,3188,"Manchester"
"788",3,3188,"Manchester"
"789",3,1090,"Manchester"
"790",5,3185,"Manchester"
"791",3,2858,"Manchester"
"792",4,1904,"Manchester"
"793",7,2494,"Manchester"
"794",4,1624,"Manchester"
"795",4,1624,"Manchester"
"796",1,3312,"Manchester"
"797",1,3312,"Manchester"
"798",1,3312,"Manchester"
"799",4,131,"Manchester"
"800",1,3311,"Manchester"
"801",2,468,"Manchester"
"802",3,468,"Manchester"
"803",3,1652,"Manchester"
"804",1,3308,"Manchester"
"805",2,1652,"Manchester"
"806",7,1750,"Manchester"
"807",8,601,"Manchester"
"808",3,2954,"Manchester"
"809",2,2728,"Manchester"
"810",1,3307,"Manchester"
"811",1,3307,"Manchester"
"812",1,3307,"Manchester"
"813",4,2954,"Manchester"
"814",3,2954,"Manchester"
"815",3,1863,"Manchester"
"816",4,2112,"Manchester"
"817",6,1243,"Manchester"
"818",1,3304,"Manchester"
"819",2,3295,"Manchester"
"820",2,3295,"Manchester"
"821",2,3295,"Manchester"
"822",1,3304,"Manchester"
"823",2,3295,"Manchester"
"824",1,3304,"Manchester"
"825",1,3304,"Manchester"
"826",1,3304,"Manchester"
"827",1,3304,"Manchester"
"828",1,3304,"Manchester"
"829",2,3295,"Manchester"
"830",2,3295,"Manchester"
"831",2,3295,"Manchester"
"832",2,3295,"Manchester"
"833",2,3295,"Manchester"
"834",2,3295,"Manchester"
"835",1,3303,"Manchester"
"836",1,3303,"Manchester"
"837",1,3303,"Manchester"
"838",1,3303,"Manchester"
"839",1,3303,"Manchester"
"840",1,3303,"Manchester"
"841",1,3303,"Manchester"
"842",2,1070,"Manchester"
"843",1,3303,"Manchester"
"844",1,3303,"Manchester"
"845",1,3303,"Manchester"
"846",1,3303,"Manchester"
"847",1,3303,"Manchester"
"848",1,3303,"Manchester"
"849",4,20,"Manchester"
"850",1,3303,"Manchester"
"851",1,3303,"Manchester"
"852",2,3016,"Manchester"
"853",15,4,"Manchester"
"854",3,1308,"Manchester"
"855",3,1308,"Manchester"
"856",3,348,"Manchester"
"857",1,3300,"Manchester"
"858",1,3300,"Manchester"
"859",1,3300,"Manchester"
"860",1,3299,"Manchester"
"861",3,3099,"Manchester"
"862",4,3099,"Manchester"
"863",5,3099,"Manchester"
"864",1,3299,"Manchester"
"865",1,3299,"Manchester"
"866",2,618,"Manchester"
"867",1,3299,"Manchester"
"868",1,3299,"Manchester"
"869",1,3299,"Manchester"
"870",1,3299,"Manchester"
"871",1,3299,"Manchester"
"872",1,3298,"Manchester"
"873",1,3298,"Manchester"
"874",1,3298,"Manchester"
"875",1,3298,"Manchester"
"876",1,3298,"Manchester"
"877",1,3298,"Manchester"
"878",1,3298,"Manchester"
"879",2,2342,"Manchester"
"880",1,3298,"Manchester"
"881",1,3298,"Manchester"
"882",2,1086,"Manchester"
"883",1,3298,"Manchester"
"884",1,3298,"Manchester"
