"","City","Type","Location","Points.Distance"
"356","Cardiff","bench","6","575.650481092131"
"357","Cardiff","bike_parking","1","78.900428408989"
"358","Cardiff","bike_parking","2","2.07909413566804"
"359","Cardiff","bike_parking","3","138.887446993052"
"360","Cardiff","bike_parking","4","64.7265997854705"
"361","Cardiff","bus_stop","1","3.32756305656886"
"362","Cardiff","bus_stop","2","22.6198813624142"
"363","Cardiff","bus_stop","3","89.1138623451044"
"364","Cardiff","bus_stop","4","4.10129815143854"
"365","Cardiff","bus_stop","5","18.6636667138161"
"366","Cardiff","bus_stop","6","2.62297751029488"
"367","Cardiff","bus_stop","7","1.53793999334038"
"368","Cardiff","bus_stop","8","22.8440241615681"
"369","Cardiff","bus_stop","9","9.96589075091613"
"370","Cardiff","bus_stop","10","6.31628238887747"
"371","Cardiff","bus_stop","11","4.26548468437203"
"372","Cardiff","bus_stop","12","3.48487854743019"
"373","Cardiff","bus_stop","13","153.579797510983"
"374","Cardiff","bus_stop","14","256.015245053547"
"375","Cardiff","bus_stop","15","31.4941632108876"
"376","Cardiff","bus_stop","16","14.4809000582844"
"377","Cardiff","bus_stop","17","2.00344245365494"
"378","Cardiff","bus_stop","18","6.7930683295657"
"379","Cardiff","bus_stop","19","7.82606567009051"
"380","Cardiff","bus_stop","20","6.49075940860582"
"381","Cardiff","bus_stop","21","6.73617519250596"
"382","Cardiff","bus_stop","22","20.7486391883845"
"383","Cardiff","bus_stop","23","18.0497814863113"
"384","Cardiff","call_booth","1","88.6625749738481"
"385","Cardiff","call_booth","2","20.4695651673416"
"386","Cardiff","call_booth","3","144.905383488645"
"387","Cardiff","call_booth","4","82.7152839390265"
"388","Cardiff","call_booth","5","35.7671658068662"
"389","Cardiff","call_booth","6","364.917975126317"
"390","Cardiff","lamp_post","1",NA
"391","Cardiff","lamp_post","2",NA
"392","Cardiff","lamp_post","3",NA
"393","Cardiff","lamp_post","4",NA
"394","Cardiff","lamp_post","5",NA
"395","Cardiff","lamp_post","6",NA
"396","Cardiff","lamp_post","7",NA
"397","Cardiff","lamp_post","8",NA
"398","Cardiff","mailbox","1","3.19665281095975"
"399","Cardiff","railway_station","1","30.8068019111528"
"400","Cardiff","railway_station","2","28.9238915444561"
"401","Cardiff","railway_station","3","26.4398256440434"
"402","Cardiff","steps","1","360.241167902259"
"403","Cardiff","steps","2","238.263020131833"
"404","Cardiff","steps","3","239.306119244131"
"405","Cardiff","steps","4","6.54333543051148"
"406","Cardiff","taxi_rank","1","6.64799863636416"
"407","Cardiff","taxi_rank","2","205.210999076181"
"408","Cardiff","taxi_rank","3","1594.21336509237"
"409","Cardiff","taxi_rank","4","8.84887752764225"
"410","Cardiff","taxi_rank","5","364.529207330666"
"411","Cardiff","tree","1","125.456374151212"
"412","Cardiff","tree","2","306.038180309394"
"413","Cardiff","tree","3","323.058357846903"
"414","Cardiff","tree","4","339.725825382273"
"415","Cardiff","tree","5","348.246208772849"
"416","Cardiff","tree","6","374.11299110774"
"417","Cardiff","tree","7","326.342011999198"
